    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              8    5.69501e+09              0    1.80249e+14    4.66995e-23
              9    8.74204e+09              0    2.62268e+14    3.09761e-22
             10    1.30433e+10              0    3.71339e+14    1.92483e-21
             11    1.89488e+10              0     5.1509e+14    1.13251e-20
             12     2.6942e+10              0    7.00997e+14    6.33926e-20
             13    3.75435e+10              0    9.39559e+14    3.39815e-19
             14    5.14285e+10              0    1.24173e+15    1.75066e-18
             15     6.9346e+10              0    1.62157e+15    8.70376e-18
             16     9.2219e+10              0    2.09445e+15    4.18737e-17
             17    1.21084e+11              0    2.67912e+15    1.95495e-16
             18    1.57165e+11              0    3.39671e+15    8.87623e-16
             19    2.01855e+11              0    4.27206e+15    3.92739e-15
             20    2.56743e+11              0    5.33372e+15    1.69639e-14
             21    3.23652e+11              0    6.61417e+15    7.16374e-14
             22     4.0462e+11              0    8.15112e+15    2.96185e-13
             23    5.01977e+11              0     9.9869e+15    1.20034e-12
             24    6.18303e+11              0    1.21704e+16    4.77369e-12
             25    7.56529e+11              0    1.47563e+16    1.86478e-11
             26    9.19859e+11              0    1.78075e+16      7.162e-11
             27    1.11192e+12              0    2.13939e+16    2.70652e-10
             28    1.33667e+12              0    2.55954e+16    1.00716e-09
             29    1.59851e+12              0    3.05007e+16    3.69305e-09
             30    1.90228e+12              0    3.62104e+16    1.33521e-08
             31    2.25331e+12              0    4.28358e+16    4.76256e-08
             32    2.65739e+12              0    5.05028e+16    1.67686e-07
             33    3.12092e+12              0    5.93501e+16    5.83085e-07
             34    3.65081e+12              0    6.95336e+16    2.00332e-06
             35    4.25463e+12              0    8.12256e+16     6.8036e-06
             36    4.94057e+12              0    9.46175e+16    2.28495e-05
             37    5.71752e+12              0    1.09921e+17    7.59145e-05
             38     6.5951e+12              0    1.27371e+17    0.000249597
             39     7.5837e+12              0    1.47226e+17    0.000812398
             40    8.69452e+12              0     1.6977e+17     0.00261846
             41    9.93961e+12              0    1.95318e+17     0.00835991
             42     1.1332e+13              0    2.24214e+17      0.0264458
             43    1.28854e+13              0    2.56838e+17      0.0829144
             44     1.4615e+13              0    2.93605e+17       0.257707
             45    1.65365e+13              0    3.34968e+17       0.794244
             46    1.86672e+13              0    3.81426e+17        2.42777
             47    2.10251e+13              0     4.3352e+17        7.36176
             48    2.36297e+13              0    4.91842e+17        22.1495
             49    2.65017e+13              0    5.57041e+17        66.1357
             50    2.96632e+13              0    6.29815e+17        196.004
             51    3.31374e+13              0    7.10932e+17         576.62
             52    3.69492e+13              0     8.0122e+17        1683.66
             53     4.1125e+13              0    9.01579e+17        4875.84
             54    4.56926e+13              0    1.00664e+18        13970.3
             55    5.06817e+13              0    1.09663e+18        39329.1
             56    5.61233e+13              0    1.16675e+18         107087
             57    6.20506e+13              0     1.3097e+18         275251
             58    6.84984e+13              0    1.36202e+18         653830
             59    7.55033e+13              0     1.5215e+18    1.42404e+06
             60    8.31043e+13              0    1.56909e+18    2.85446e+06
             61     9.1342e+13              0     1.6658e+18    5.31493e+06
             62    1.00259e+14              0    1.76835e+18     9.2882e+06
             63    1.09902e+14              0    1.91007e+18    1.53774e+07
             64    1.20316e+14              0    1.97138e+18    2.43087e+07
             65    1.31553e+14              0    1.99895e+18    3.69304e+07
             66    1.43664e+14              0    2.22906e+18    5.42102e+07
             67    1.56704e+14              0    2.12877e+18    7.72296e+07
             68    1.70731e+14              0    2.20376e+18    1.07176e+08
             69    1.85805e+14              0    2.29273e+18    1.45332e+08
             70    2.01989e+14              0    2.28967e+18    1.93066e+08
             71    2.19349e+14              0    2.39482e+18     2.5182e+08
             72    2.37953e+14              0    2.38138e+18    3.23096e+08
             73    2.57875e+14              0    2.46972e+18    4.08448e+08
             74    2.79188e+14              0    2.50143e+18    5.09467e+08
             75    3.01972e+14              0    2.47137e+18    6.27768e+08
             76    3.26308e+14              0    2.66607e+18    7.64983e+08
             77    3.52282e+14              0     2.5369e+18    9.22748e+08
             78    3.79983e+14              0    2.57163e+18    1.10269e+09
             79    4.09503e+14              0    2.67472e+18    1.30643e+09
             80     4.4094e+14              0      2.611e+18    1.53556e+09
             81    4.74393e+14              0    2.67314e+18    1.79163e+09
             82    5.09968e+14              0    2.67289e+18    2.07617e+09
             83    5.47772e+14              0    2.70666e+18    2.39067e+09
             84     5.8792e+14              0    2.66612e+18    2.73655e+09
             85    6.30528e+14              0    2.67473e+18    3.11519e+09
             86    6.75718e+14              0    2.73063e+18    3.52792e+09
             87    7.23616e+14              0    2.63079e+18    3.97599e+09
             88    7.74355e+14              0    2.68573e+18    4.46062e+09
             89    8.28071e+14              0    2.67924e+18    4.98292e+09
             90    8.84903e+14              0    2.63184e+18    5.54397e+09
             91       9.45e+14              0    2.64623e+18    6.14478e+09
             92    1.00851e+15              0    2.63565e+18    6.78628e+09
             93     1.0756e+15              0    2.66085e+18    7.46933e+09
             94    1.14642e+15              0    2.59172e+18    8.19474e+09
             95    1.22114e+15              0    2.60177e+18    8.96324e+09
             96    1.29995e+15              0     2.6238e+18    9.77549e+09
             97    1.38301e+15              0    2.53173e+18    1.06321e+10
             98    1.47052e+15              0    2.58202e+18    1.15336e+10
             99    1.56266e+15              0    2.56258e+18    1.24805e+10
            100    1.65964e+15              0    2.50678e+18    1.34731e+10
