    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
             18    2.17325e+11              0    2.45644e+15    6.41912e-16
             19    2.80486e+11              0    3.07444e+15     2.8264e-15
             20    3.58384e+11              0    3.82102e+15    1.21527e-14
             21    4.53721e+11              0    4.71806e+15    5.11009e-14
             22    5.69519e+11              0    5.79103e+15    2.10427e-13
             23    7.09242e+11              0    7.06838e+15    8.49557e-13
             24    8.76744e+11              0    8.58291e+15    3.36654e-12
             25    1.07637e+12              0    1.03715e+16    1.31067e-11
             26    1.31296e+12              0    1.24759e+16    5.01769e-11
             27     1.5919e+12              0    1.49433e+16    1.89047e-10
             28    1.91921e+12              0    1.78264e+16    7.01456e-10
             29    2.30145e+12              0    2.11848e+16    2.56507e-09
             30    2.74597e+12              0    2.50848e+16    9.24971e-09
             31    3.26078e+12              0     2.9601e+16    3.29109e-08
             32    3.85467e+12              0    3.48163e+16    1.15602e-07
             33    4.53732e+12              0     4.0823e+16    4.01065e-07
             34     5.3192e+12              0    4.77241e+16    1.37497e-06
             35    6.21185e+12              0    5.56332e+16    4.65994e-06
             36    7.22768e+12              0    6.46769e+16     1.5619e-05
             37    8.38027e+12              0    7.49948e+16    5.17934e-05
             38    9.68427e+12              0    8.67411e+16    0.000169979
             39    1.11555e+13              0    1.00086e+17    0.000552281
             40    1.28112e+13              0    1.15217e+17     0.00177706
             41    1.46696e+13              0    1.32341e+17     0.00566438
             42    1.67507e+13              0    1.51682e+17      0.0178908
             43    1.90758e+13              0    1.73491e+17      0.0560074
             44    2.16677e+13              0    1.98037e+17       0.173825
             45     2.4551e+13              0     2.2562e+17       0.534968
             46    2.77519e+13              0    2.56564e+17        1.63303
             47    3.12983e+13              0    2.91223e+17        4.94537
             48    3.52201e+13              0    3.29985e+17        14.8604
             49    3.95492e+13              0     3.7327e+17        44.3172
             50    4.43196e+13              0    4.21536e+17        131.186
             51    4.95672e+13              0    4.75282e+17         385.49
             52    5.53305e+13              0    5.35047e+17        1124.34
             53      6.165e+13              0    6.01419e+17        3252.54
             54    6.85689e+13              0    6.70801e+17        9309.49
             55    7.61328e+13              0    7.30028e+17        26181.4
             56    8.43901e+13              0     7.7594e+17        71218.2
             57    9.33918e+13              0    8.70181e+17         182880
             58    1.03192e+14              0    9.04105e+17         434010
             59    1.13847e+14              0    1.00905e+18         944419
             60    1.25418e+14              0     1.0397e+18    1.89141e+06
             61    1.37968e+14              0    1.10284e+18    3.51875e+06
             62    1.51563e+14              0    1.16977e+18    6.14416e+06
             63    1.66274e+14              0     1.2625e+18     1.0164e+07
             64    1.82173e+14              0      1.302e+18    1.60546e+07
             65     1.9934e+14              0    1.31919e+18    2.43719e+07
             66    2.17854e+14              0    1.46995e+18    3.57489e+07
             67    2.37801e+14              0     1.4028e+18    5.08921e+07
             68    2.59272e+14              0    1.45118e+18    7.05758e+07
             69    2.82358e+14              0    1.50873e+18    9.56356e+07
             70    3.07159e+14              0     1.5057e+18    1.26961e+08
             71    3.33777e+14              0     1.5738e+18    1.65489e+08
             72     3.6232e+14              0    1.56397e+18    2.12193e+08
             73      3.929e+14              0    1.62097e+18    2.68079e+08
             74    4.25635e+14              0    1.64077e+18    3.34176e+08
             75    4.60645e+14              0    1.62009e+18    4.11527e+08
             76    4.98061e+14              0    1.74669e+18    5.01184e+08
             77    5.38015e+14              0    1.66112e+18    6.04198e+08
             78    5.80646e+14              0    1.68291e+18    7.21618e+08
             79    6.26098e+14              0    1.74941e+18    8.54479e+08
             80    6.74524e+14              0    1.70683e+18     1.0038e+09
             81    7.26079e+14              0    1.74653e+18    1.17058e+09
             82    7.80929e+14              0    1.74547e+18     1.3558e+09
             83    8.39241e+14              0    1.76664e+18    1.56039e+09
             84    9.01194e+14              0    1.73932e+18    1.78526e+09
             85    9.66972e+14              0     1.7441e+18     2.0313e+09
             86    1.03676e+15              0    1.77971e+18    2.29934e+09
             87    1.11077e+15              0    1.71384e+18    2.59018e+09
             88    1.18919e+15              0    1.74884e+18    2.90457e+09
             89    1.27225e+15              0    1.74384e+18    3.24323e+09
             90    1.36016e+15              0    1.71224e+18    3.60684e+09
             91    1.45316e+15              0    1.72087e+18    3.99601e+09
             92    1.55147e+15              0    1.71326e+18    4.41133e+09
             93    1.65536e+15              0    1.72894e+18    4.85334e+09
             94    1.76506e+15              0    1.68334e+18    5.32254e+09
             95    1.88085e+15              0     1.6892e+18    5.81938e+09
             96    2.00301e+15              0    1.70284e+18    6.34427e+09
             97    2.13181e+15              0    1.64246e+18    6.89757e+09
             98    2.26754e+15              0    1.67446e+18    7.47962e+09
             99    2.41051e+15              0    1.66124e+18     8.0907e+09
            100    2.56103e+15              0    1.62448e+18    8.73105e+09
